policy,seed,revenue,remain,mean_price,mean_sl,weekend,peak_month,is_soft,month,load
myopic,0,1197752.5282086765,497.3204004119907,91.99999988079071,12282.352940645069,0,1,0,12,0.950267959958801
myopic,1,855955.3528239769,3440.5537602491995,91.99999988079071,12352.941175922751,0,0,1,6,0.65594462397508
myopic,2,866645.869816607,3106.776362580392,91.99999988079071,12352.941175922751,0,0,1,6,0.6893223637419608
myopic,3,868754.9398881586,3105.4126069827234,91.99999988079071,12352.941175922751,0,0,1,6,0.6894587393017276
myopic,4,1151498.2065645475,461.0339693391343,91.99999988079071,11670.588234905154,1,1,0,12,0.9538966030660866
myopic,5,855969.7362579376,3395.143651831845,91.99999988079071,12352.941175922751,0,0,1,6,0.6604856348168155
myopic,6,1185434.262544511,363.67608060867315,91.99999988079071,11999.999999534339,1,0,0,6,0.9636323919391326
myopic,7,1166055.9380975491,416.38393063610965,91.99999988079071,11694.117646664381,1,1,0,12,0.958361606936389
myopic,8,1196542.3096041153,417.94036428274194,91.99999988079071,12282.352940645069,0,1,0,12,0.9582059635717258
myopic,9,903170.4481490954,2990.4630995801735,91.99999988079071,12352.941175922751,0,0,1,6,0.7009536900419826
myopic,10,1202849.268207983,440.2089830496425,91.99999988079071,12329.411764163524,0,1,0,12,0.9559791016950357
myopic,11,862160.7923063261,3278.8640635312986,91.99999988079071,12352.941175922751,0,0,1,6,0.6721135936468701
myopic,12,1219700.1072347253,429.0407226929292,91.99999988079071,12329.411764163524,0,1,0,12,0.9570959277307071
myopic,13,1179719.373658609,396.97652202924655,91.99999988079071,11670.588234905154,1,1,0,12,0.9603023477970754
myopic,14,862250.6081372485,3257.1224490289524,91.99999988079071,12352.941175922751,0,0,1,6,0.6742877550971047
myopic,15,1223467.1559513935,398.75259845654546,91.99999988079071,12329.411764163524,0,1,0,12,0.9601247401543455
myopic,16,864612.3323067874,3392.5852202186743,91.99999988079071,12352.941175922751,0,0,1,6,0.6607414779781327
myopic,17,902829.3181702349,2887.7159007311484,91.99999988079071,12352.941175922751,0,0,1,6,0.7112284099268852
myopic,18,1173706.8708443223,425.4387856471694,91.99999988079071,11670.588234905154,1,1,0,12,0.957456121435283
myopic,19,906835.0842180155,3036.6525681917747,91.99999988079071,12352.941175922751,0,0,1,6,0.6963347431808226
myopic,20,1170164.2911453692,478.27881934399375,91.99999988079071,11976.470587775111,1,0,0,6,0.9521721180656006
myopic,21,855016.7727276942,3498.1469939311046,91.99999988079071,12352.941175922751,0,0,1,6,0.6501853006068896
myopic,22,1157660.1423091132,364.41080042824797,91.99999988079071,11670.588234905154,1,1,0,12,0.9635589199571752
myopic,23,1160652.5187902064,402.08830737640164,91.99999988079071,11952.941176015884,1,0,0,6,0.9597911692623599
myopic,24,844358.3539603773,3366.024564329384,91.99999988079071,12352.941175922751,0,0,1,6,0.6633975435670616
myopic,25,1202305.3464832902,429.38289511220137,91.99999988079071,12305.882352404296,0,1,0,12,0.9570617104887799
myopic,26,870352.6905061344,3024.9074448689125,91.99999988079071,12352.941175922751,0,0,1,6,0.6975092555131088
