policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun,round
dagger round 0,0,2406241.0526734903,3166788.0060744286,3802.734767004691,0.0,0,8846.0,90.71181063883287,7284.0,117.87401576509586,8276.0,82.61918431249663,2123.0,88.44892816390848,1954.0,85.30682077000304,461.0,81.75518756833355,0
dagger round 0,1,2551465.008482267,3211301.799838543,3299.1839567813777,0.0,0,9636.0,94.77253549880336,7429.0,117.9848629116675,7319.0,81.02963889812996,2299.0,88.78357602648758,1867.0,82.97100576539697,453.0,81.28591317741024,0
dagger round 0,2,1556592.5648723592,2790435.227549076,6169.213313383584,0.0,0,8364.0,92.1764978774993,6617.0,117.53724988933342,6365.0,80.28464823750558,2433.0,83.05084946613178,1534.0,80.21670602912853,335.0,80.0845205499165,0
dagger round 0,3,3157147.014126679,3503981.051067114,1165.0332950579232,284.56844482212546,1,9710.0,86.23025140347367,9300.0,118.12602923557323,10170.0,82.277969761584,1691.0,90.60883806204387,1894.0,87.86278954906726,375.0,81.85150972048442,0
dagger round 0,4,2153568.480797684,3065428.394392729,4559.299567975226,0.0,0,8180.0,86.93594339249478,7259.0,117.87974103962954,7855.0,81.65419650775927,2168.0,88.20782151279414,2118.0,85.23793606458688,468.0,80.96339915807431,0
dagger round 0,5,1458130.633825928,2644562.667784691,5932.160169793815,0.0,0,7824.0,81.16885874184241,5556.0,117.16267395332788,7840.0,80.14076346675961,2065.0,80.33656350463701,1981.0,80.20857309284143,336.0,80.02156850837525,0
dagger round 0,6,2768826.1511765453,3265694.612404108,2484.3423061378135,0.0,0,10016.0,98.86585518110769,5636.0,117.23084171161828,9752.0,80.94167224604443,2561.0,83.14750321765096,1849.0,80.7099904048243,420.0,80.19915816045943,0
dagger round 0,7,2084138.3733436582,2979075.633237362,4474.686299468519,0.0,0,8631.0,93.66115661626507,6279.0,117.73744373094468,7251.0,80.73436726818181,2534.0,84.2456353468131,1926.0,80.6685123036336,450.0,80.23399622440338,0
dagger round 0,8,-272089.39524867386,2085368.6321103573,11787.290136795156,0.0,0,6610.0,84.12247893489254,4253.0,116.3078456143057,6299.0,80.08586879930225,1554.0,80.13778380215398,1376.0,80.08629142285086,253.0,80.02000702699654,0
dagger round 0,9,1239194.972950941,2618719.931857586,6897.624794533225,0.0,0,7510.0,94.80513399863212,4558.0,117.25631259862348,8010.0,81.53899113605085,2126.0,81.03157967300989,1733.0,80.40423231598137,399.0,80.13737487613707,0
dagger round 0,10,1000626.8483741544,2523767.7089345455,7615.704302801955,0.0,0,7447.0,86.43988036750802,4906.0,117.1919208361672,7374.0,80.18850093486674,2135.0,80.31826792779516,1861.0,80.15315516990465,302.0,80.03013546103674,0
