n_seasons,history,score,unsold,denied,market_size,beta_early,beta_late,arrival_decay_days,night_appeal_0,night_appeal_1,night_appeal_2,pass_appeal_0,pass_appeal_1,pass_appeal_2,vs planner,vs planner low,vs planner high,vs SAC,vs SAC low,vs SAC high,vs BC -> SAC,vs BC -> SAC low,vs BC -> SAC high,vs fixed prices,vs fixed prices low,vs fixed prices high
2,0,2395633.696,2982.361,102.462,97088.998,3.064,2.004,40.394,-0.122,0.41,0.094,0.0,0.087,0.122,-25620.67,-42694.522,-7838.649,439104.091,399817.904,480821.995,319744.144,233318.053,425558.375,299015.319,248571.876,351900.615
5,0,2395325.236,2951.359,107.192,115940.02,2.986,2.001,40.709,-0.475,0.09,-0.468,0.0,0.497,0.971,-25929.13,-40478.852,-11421.229,438795.631,399714.209,480876.761,319435.684,230557.986,427757.462,298706.859,248900.225,350388.306
20,0,2407743.048,2948.698,110.771,105921.127,2.979,1.976,40.453,-0.183,0.182,-0.409,0.0,0.305,0.619,-13511.318,-26016.055,-695.864,451213.444,413478.678,492167.954,331853.496,244425.638,439936.299,311124.671,261346.363,363271.19
100,0,2415494.215,2988.48,102.019,94620.831,3.003,2.008,39.605,0.147,0.42,-0.165,0.0,0.089,0.177,-5760.151,-22021.332,9270.001,458964.611,412476.496,505734.773,339604.664,257912.303,440968.745,318875.838,268360.652,370135.284
2,1,2407603.358,2920.987,118.819,98946.893,3.106,2.028,41.86,0.002,0.246,-0.398,0.0,0.331,0.593,-13651.008,-34923.95,8707.51,451073.754,413114.695,494579.092,331713.806,238858.555,446344.626,310984.981,253631.03,372090.574
5,1,2402715.189,3028.079,97.543,147363.265,2.96,1.925,42.492,-0.538,-0.209,-0.948,0.0,0.747,1.469,-18539.177,-42669.412,3675.789,446185.585,396647.522,495386.869,326825.638,253114.719,418055.797,306096.812,260163.855,352727.172
20,1,2408279.632,3004.623,99.718,94018.415,3.021,2.009,39.805,0.159,0.468,-0.237,0.0,0.095,0.166,-12974.734,-30519.921,3650.995,451750.028,408216.052,495664.371,332390.081,254923.462,428513.875,311661.255,266887.743,356959.81
100,1,2423190.682,2954.86,104.225,93880.398,3.023,2.0,39.94,0.144,0.432,-0.181,0.0,0.083,0.16,1936.317,-14165.702,18008.84,466661.078,422374.636,512070.046,347301.131,270628.935,443829.053,326572.305,278534.214,374976.224
2,2,2414774.503,2952.362,112.316,116989.034,2.971,2.087,39.447,-0.147,0.022,-0.437,0.0,0.532,1.072,-6479.863,-24579.171,11913.903,458244.899,418051.194,501018.285,338884.951,249527.316,448637.697,318156.126,266664.682,372132.809
5,2,2377239.608,3126.022,96.735,124320.901,2.979,2.052,39.781,-0.178,0.151,-0.411,0.0,0.415,0.819,-44014.758,-76823.582,-12471.941,420710.004,362625.75,478820.458,301350.056,227137.66,392471.052,280621.231,230989.855,331247.783
20,2,2414654.872,2986.859,102.897,111961.681,2.994,2.033,39.976,-0.09,0.178,-0.406,0.0,0.343,0.681,-6599.494,-18832.822,4901.332,458125.268,418397.634,499968.239,338765.32,257016.35,441437.144,318036.495,272269.112,365778.248
100,2,2415724.265,2950.909,111.365,99173.075,3.007,1.992,40.2,0.007,0.288,-0.321,0.0,0.202,0.406,-5530.101,-19894.356,9279.048,459194.661,420125.59,500772.054,339834.713,251723.079,447916.697,319105.888,267870.607,372306.961
