policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun,n_seasons,history
"fitted, 2 seasons, history 0",0,3028738.5193196516,3290171.7875425424,1307.1663411144546,0.0,0,9748.0,84.21527112280407,7124.0,117.48120665185102,8424.0,80.0,2599.0,83.76783540778409,2502.0,80.0,511.0,80.0,2,0
"fitted, 2 seasons, history 0",1,2728518.752718076,3218457.4330827035,2328.0627814256004,60.8153101987682,2,10013.0,89.05590520391883,7653.0,115.10683115755252,7198.0,80.0,2551.0,85.31322528951685,2078.0,80.0,426.0,80.0,2,0
"fitted, 2 seasons, history 0",2,2146834.146078653,2924600.020614676,3776.368440215304,56.23046623240589,1,9806.0,83.88574258894087,8074.0,106.91317075661391,6095.0,80.0,2714.0,80.27993516923755,1529.0,80.0,295.0,80.0,2,0
"fitted, 2 seasons, history 0",3,3440130.6123403087,3483861.1329540145,218.65260306852906,0.0,0,10308.0,81.61686249031061,8478.0,118.43713237044642,10351.0,81.91944341695938,2124.0,85.3543322813292,1936.0,88.01424169091293,363.0,80.0,2,0
"fitted, 2 seasons, history 0",4,2759474.0324147944,3171863.075625971,2061.945216055883,0.0,0,9258.0,80.0,6779.0,117.68227849410098,7816.0,80.0,2953.0,80.68982672961816,2568.0,80.14423540680208,500.0,80.0,2,0
"fitted, 2 seasons, history 0",5,1890297.002736931,2738832.17675268,4242.675870078745,0.0,0,7786.0,80.0,8130.0,98.08021854276507,7585.0,80.0,2038.0,80.0,1932.0,80.0,319.0,80.0,2,0
"fitted, 2 seasons, history 0",6,3084017.989498633,3298340.6868613,1071.6134868133358,0.0,0,10401.0,94.48057732082536,7795.0,98.69995387544469,9722.0,80.48118372202362,2279.0,83.65160016296412,1782.0,80.0,406.0,80.0,2,0
"fitted, 2 seasons, history 0",7,2593342.906491761,3089970.719108656,2370.312715796693,56.41317364389033,1,9760.0,86.54135074054243,7597.0,107.50765330995347,7429.0,80.0,2754.0,81.02242078526606,1876.0,80.0,366.0,80.0,2,0
"fitted, 2 seasons, history 0",8,303469.2254684281,2198881.363182366,9477.060688569689,0.0,0,6859.0,80.0,7669.0,87.71956750324239,5979.0,80.0,1505.0,80.0,1322.0,80.0,195.0,80.0,2,0
"fitted, 2 seasons, history 0",9,2021058.8860803465,2724540.8559697866,3517.4098494472,0.0,0,9676.0,80.0,7499.0,89.98277849977153,7708.0,80.0,2010.0,80.0,1623.0,80.0,324.0,80.0,2,0
"fitted, 2 seasons, history 0",10,1537722.40199546,2610464.3373523653,5363.709676784526,0.0,0,8166.0,80.0,7865.0,92.03106641479533,7061.0,80.0,2038.0,80.0,1687.0,80.0,302.0,80.0,2,0
"fitted, 2 seasons, history 0",11,2908674.6888113525,3299324.759726543,1859.8589739534136,46.69569031126957,2,10014.0,88.58312642969979,7506.0,117.90054780687187,7442.0,80.0,2430.0,87.71504708882344,2318.0,80.02517061463917,561.0,80.0,2,0
"fitted, 2 seasons, history 0",12,3075394.8170563783,3380023.1487777596,323.28350038834833,599.929079109279,2,9634.0,88.5974221423389,6834.0,117.55031497751311,8707.0,80.17764709402995,2678.0,85.26139991320363,2593.0,80.02504822971551,639.0,80.0,2,0
"fitted, 2 seasons, history 0",13,3329124.4766064365,3448400.2765458077,210.25580557865032,193.0615970591025,2,9598.0,80.0,8354.0,118.61915676217987,10673.0,83.6586320585089,2432.0,80.29964753083493,1805.0,88.8794496367554,355.0,80.08916639945876,2,0
"fitted, 2 seasons, history 0",14,1972212.453550445,2858956.4242533897,4433.719853514724,0.0,0,10166.0,83.19459637699562,8595.0,100.30810793641268,6141.0,80.0,2414.0,80.16817932298783,1361.0,80.0,229.0,80.0,2,0
"fitted, 2 seasons, history 0",15,1295088.4168360145,2557790.151748075,6313.508674560303,0.0,0,7513.0,80.0,8259.0,96.91610991016772,6017.0,80.0,2069.0,80.0,1713.0,80.0,291.0,80.0,2,0
"fitted, 2 seasons, history 0",16,2969869.757583949,3269037.06608817,617.5365681184703,439.14998720131734,2,9448.0,83.48002574259098,6671.0,116.08424196921355,8403.0,80.0,2779.0,83.22414622086121,2656.0,80.0,609.0,80.0,2,0
"fitted, 2 seasons, history 0",17,2849454.638480709,3303224.4949943386,2268.8492825681496,0.0,0,10053.0,90.62144346472951,7676.0,114.39524680111798,8237.0,80.0,2550.0,84.11238532907822,2071.0,80.0,395.0,80.01353942593441,2,0
"fitted, 2 seasons, history 0",18,2028636.798449062,2863056.7746767215,4009.2512170685386,81.42433203487963,1,8522.0,80.0,7859.0,109.7056590758012,6436.0,80.0,2648.0,80.0,1831.0,80.0,365.0,80.0,2,0
"fitted, 2 seasons, history 0",19,2461805.1694718944,3112161.184144304,2447.1021481787384,402.3389625916552,2,9549.0,88.50556816055658,7345.0,110.63630996422158,7024.0,80.0,2932.0,81.8959442516954,1915.0,80.0,441.0,80.0,2,0
"fitted, 2 seasons, history 0",20,2962780.4298490775,3302931.3976452313,1329.3278401391217,185.71349942082452,2,9772.0,87.26240212776909,7141.0,117.65020320835467,7865.0,80.0,2571.0,86.45334557405894,2452.0,80.0,600.0,80.0,2,0
"fitted, 2 seasons, history 0",21,3287154.9819798414,3375609.7609543614,160.23049766916847,141.0216986017167,2,9898.0,91.76994022290012,6929.0,102.36772446606729,9796.0,85.00602271451956,2509.0,82.27191130108403,2334.0,80.0,579.0,80.0031550848834,2,0
"fitted, 2 seasons, history 0",22,792652.5151581897,2281741.401140243,7445.444429910265,0.0,0,7404.0,80.0,7833.0,87.91285601177619,6035.0,80.0,1656.0,80.0,1217.0,80.0,243.0,80.0,2,0
"fitted, 2 seasons, history 0",23,2274512.861224684,3099370.7248729654,3051.1901903713606,536.5495639350229,2,9743.0,88.99860964893965,7750.0,113.31932822366154,6493.0,80.0,2842.0,82.73618531491368,1725.0,80.0,368.0,80.0,2,0
"fitted, 2 seasons, history 0",24,3383789.02085683,3459066.038019564,376.38508581367023,0.0,0,10209.0,92.06570492129057,7486.0,112.99238243180838,9500.0,82.75468640402744,2325.0,84.39070123770544,2366.0,80.0,484.0,80.0,2,0
"fitted, 2 seasons, history 0",25,2228079.360780421,2992450.053393077,3821.8534630632803,0.0,0,9835.0,86.81872750537676,7958.0,107.22874509110966,6361.0,80.0,2713.0,81.07289254379765,1599.0,80.0,336.0,80.0,2,0
"fitted, 2 seasons, history 0",26,1165152.074986696,2487374.575318992,6603.384697642009,3.8639020097361936,1,4923.0,80.0,8225.0,98.2096748108197,7303.0,80.0,1545.0,80.0,2352.0,80.0,325.0,80.0,2,0
"fitted, 2 seasons, history 0",27,3139338.8921191082,3445525.945201423,1052.6922439816863,239.12151071494372,2,10203.0,91.44375504075671,7807.0,118.30219544891415,8551.0,80.0,2367.0,88.82004183234295,2210.0,81.44779702710889,518.0,80.04294192842765,2,0
"fitted, 2 seasons, history 0",28,1725633.9191290778,2704404.976823167,4893.855288470446,0.0,0,8980.0,80.0,7877.0,96.46375229442262,6161.0,80.0,2441.0,80.0,1635.0,80.0,338.0,80.0,2,0
"fitted, 2 seasons, history 0",29,2486051.123390739,3002288.077716902,2518.1076311624283,31.538570234193685,1,9743.0,81.76800456356492,7633.0,105.03110300721721,7146.0,80.0,2627.0,80.0,1961.0,80.0,409.0,80.0,2,0
"fitted, 5 seasons, history 0",0,3013303.7825503834,3272970.611819532,1298.3341463457418,0.0,0,9939.0,82.7998729444765,7453.0,113.76618499930473,8492.0,80.0,2381.0,84.9985925713065,2477.0,80.0,507.0,80.0,5,0
"fitted, 5 seasons, history 0",1,2729906.750661607,3222698.7220295146,2267.056178397871,98.45183922083379,2,10138.0,87.95157788480485,7887.0,113.85358757975533,7238.0,80.0,2382.0,86.20536947771468,2084.0,80.0,458.0,80.0,5,0
"fitted, 5 seasons, history 0",2,2181324.906700315,2943894.3021421554,3691.3769327978316,60.7350222056848,2,9743.0,84.40983917784773,8045.0,107.28718305954327,6123.0,80.0,2781.0,80.3387003449046,1571.0,80.0,293.0,80.0,5,0
"fitted, 5 seasons, history 0",3,3415414.1981448126,3433056.0167795885,88.20909317388032,0.0,0,10331.0,81.07093226181527,8379.0,115.4802078203786,10352.0,81.02709475161949,2163.0,82.72653165982732,2129.0,82.40293170089674,334.0,80.20400223974696,5,0
"fitted, 5 seasons, history 0",4,2733578.584077927,3155033.857992161,2107.276369571171,0.0,0,9366.0,80.0,7048.0,113.75040018142684,7855.0,80.0,2835.0,80.51393630426554,2499.0,80.38555795683854,489.0,80.0,5,0
"fitted, 5 seasons, history 0",5,1846846.2677072797,2720720.971256243,4369.373517744817,0.0,0,7739.0,80.0,8287.0,96.80716438472825,7464.0,80.0,1974.0,80.0,1926.0,80.0,326.0,80.0,5,0
