policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun
fixed prices,0,2811821.738343783,3184858.652666807,1865.1845716151201,0.0,0,9360.0,85.85210919380188,7438.0,109.69654619693756,8334.0,80.0,2795.0,80.0,2181.0,80.0,427.0,80.0
fixed prices,1,2494750.8610542607,3081879.4810557365,2746.161456664753,94.740821671312,2,9562.0,85.85210919380188,7640.0,109.69654619693756,7030.0,80.0,2995.0,80.0,1807.0,80.0,384.0,80.0
fixed prices,2,2071320.857097169,2899563.2231497765,4141.211830263038,0.0,0,9358.0,85.85210919380188,7648.0,109.69654619693756,6168.0,80.0,2808.0,80.0,1550.0,80.0,277.0,80.0
fixed prices,3,3081057.483742754,3292395.0094664097,1056.6876286182778,0.0,0,9152.0,85.85210919380188,8250.0,109.69654619693756,10200.0,80.0,2170.0,80.0,2304.0,80.0,291.0,80.0
fixed prices,4,2372044.9014970325,3049474.840939641,3387.1496972130417,0.0,0,8146.0,85.85210919380188,7337.0,109.69654619693756,7770.0,80.0,2745.0,80.0,2311.0,80.0,478.0,80.0
fixed prices,5,1512709.3711583118,2672255.1085215807,5797.728686816345,0.0,0,6905.0,85.85210919380188,6603.0,109.69654619693756,7701.0,80.0,2066.0,80.0,2031.0,80.0,348.0,80.0
fixed prices,6,2596907.611356628,3094111.5401637554,2486.019644035636,0.0,0,10655.0,85.85210919380188,6336.0,109.69654619693756,9705.0,80.0,2149.0,80.0,1818.0,80.0,305.0,80.0
fixed prices,7,2451158.0294397036,3035981.311776042,2809.6892945828304,57.21355854943067,1,9618.0,85.85210919380188,7231.0,109.69654619693756,7142.0,80.0,2836.0,80.0,1890.0,80.0,373.0,80.0
fixed prices,8,-179643.22433976922,2117031.7638599873,11483.374940998783,0.0,0,6372.0,85.85210919380188,5002.0,109.69654619693756,6227.0,80.0,1545.0,80.0,1354.0,80.0,247.0,80.0
fixed prices,9,1568818.9393547857,2659943.2611238956,5455.621608845549,0.0,0,8767.0,85.85210919380188,5148.0,109.69654619693756,8069.0,80.0,2101.0,80.0,1666.0,80.0,393.0,80.0
fixed prices,10,1063111.890145498,2529632.798319459,7332.604540869805,0.0,0,7287.0,85.85210919380188,5739.0,109.69654619693756,7298.0,80.0,2124.0,80.0,1729.0,80.0,309.0,80.0
fixed prices,11,2632444.018863967,3119123.6149305105,2343.3317602833376,45.03311002468945,2,9197.0,85.85210919380188,7277.0,109.69654619693756,7418.0,80.0,3314.0,80.0,1871.0,80.0,451.0,80.0
fixed prices,12,2821253.4359968426,3234907.567551732,808.5691463204803,629.8507557269841,2,9321.0,85.85210919380188,7019.0,109.69654619693756,8639.0,80.0,3117.0,80.0,2245.0,80.0,482.0,80.0
fixed prices,13,2775730.9214256755,3211333.6940521,1759.2997620532242,209.35705053944912,2,8129.0,85.85210919380188,8397.0,109.69654619693756,10256.0,80.0,2032.0,80.0,2348.0,80.0,296.0,80.0
