policy,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun
fixed prices,2096618.4,2926474.2,3939.7,104.8,0.7,8724.9,85.9,6991.4,109.7,7663.1,80.0,2540.5,80.0,1898.9,80.0,363.1,80.0
planner,2421254.4,3051319.5,2934.2,108.1,0.9,9133.6,86.4,7685.1,106.9,7660.6,80.3,2425.5,82.7,2004.1,80.2,413.5,80.0
planner + pickup,2439164.7,3066053.4,2876.7,128.9,1.0,9011.9,87.4,7823.5,106.5,7678.1,80.4,2455.4,83.2,1992.7,80.7,418.6,80.0
SAC,1956529.6,2872372.7,4430.7,74.3,0.3,9169.6,84.9,8726.2,97.5,7525.6,81.7,1905.0,85.4,1492.1,84.3,185.6,87.6
"SAC, kept checkpoint",1767089.2,2850691.5,4945.3,236.3,0.6,9193.9,84.4,9139.5,96.5,7172.6,84.0,1945.4,85.8,1259.0,88.5,142.9,91.1
BC -> SAC,2075889.6,2949851.2,3998.0,185.9,0.7,9367.4,85.6,8413.3,101.2,7547.4,80.9,1705.7,89.5,1829.6,81.7,348.5,81.7
"BC -> SAC, kept checkpoint",2014592.0,2924578.6,4160.7,194.6,0.9,9231.6,84.5,7545.0,106.1,7533.9,81.1,2125.1,84.2,1834.7,81.2,315.7,81.9
clone only,1994115.7,2963596.4,4776.8,35.3,0.2,8588.8,90.7,6507.6,117.6,7745.8,81.5,2213.7,85.1,1856.3,82.5,404.2,80.8
DAgger clone,2398253.5,3053627.4,2969.8,153.5,1.0,9191.2,86.3,7779.8,106.3,7632.6,80.4,2400.1,82.8,1982.2,80.4,410.1,80.1
DAgger -> SAC,2139863.7,2972835.2,3880.2,142.3,0.6,9078.4,87.9,8118.9,102.7,7599.5,81.0,2008.7,85.9,1842.6,81.4,324.5,82.3
"SAC, shaped",1806793.6,2952396.9,3912.9,907.6,1.1,9856.5,81.3,8404.6,98.7,7393.0,80.7,2347.8,82.2,1780.9,81.1,179.9,89.8
"DAgger -> SAC, shaped",1917265.1,2882559.8,4489.4,168.5,0.6,8452.8,89.2,7986.8,99.9,7690.3,81.1,2277.3,82.4,1618.3,82.0,299.1,81.9
