policy,baseline,point_diff,paired_diff,paired_ci_low,paired_ci_high,tie,n_draws,n_seeds
myopic_greedy,fixed_price_80,156135.20108742313,156090.44010546675,148086.552801149,163934.13943210067,False,10000,30
myopic_greedy,rl_sac,-109094.63451522356,-109025.94292452163,-178415.91326641443,-42348.66988365261,False,10000,30
myopic_greedy,joint_bc_sac_raw,-122076.15917602088,-121875.89629530316,-214728.94368712278,-33155.922908331486,False,10000,30
myopic_greedy,joint_sac_rl_best,-60958.5788433142,-60634.63986495193,-160347.27712881708,40363.51387519936,True,10000,30
myopic_greedy,joint_ppo_long_007,-38579.930435058195,-38276.615923083555,-130382.29164817596,41870.285769112415,True,10000,30
myopic_greedy,price_only_pace_ppo,-37608.62642049277,-37446.25862667068,-121019.90203168831,46956.35676694719,True,10000,30
myopic_greedy,price_only_ppo,-30785.857260344317,-30699.475956188304,-132036.14151193752,65549.49707237825,True,10000,30
fixed_price_80,rl_sac,-265229.8356026467,-265116.3830299884,-338252.71997409605,-194689.87700336092,False,10000,30
fixed_price_80,joint_bc_sac_raw,-278211.360263444,-277966.3364007699,-373472.8217493163,-185432.88279285227,False,10000,30
fixed_price_80,joint_sac_rl_best,-217093.77993073734,-216725.07997041868,-320705.8896717826,-111904.41198895313,False,10000,30
fixed_price_80,joint_ppo_long_007,-194715.13152248133,-194367.05602855035,-288975.5635024656,-111051.35051171629,False,10000,30
fixed_price_80,price_only_pace_ppo,-193743.8275079159,-193536.69873213745,-280440.18571407703,-105512.71227650753,False,10000,30
fixed_price_80,price_only_ppo,-186921.05834776745,-186789.91606165507,-290800.0810830031,-86957.75038092435,False,10000,30
rl_sac,joint_bc_sac_raw,-12981.524660797324,-12849.953370781504,-39027.80815640286,14731.9551024268,True,10000,30
rl_sac,joint_sac_rl_best,48136.05567190936,48391.30305956971,5786.43395133496,90365.58812789676,False,10000,30
rl_sac,joint_ppo_long_007,70514.70408016536,70749.32700143808,5166.626495295835,138645.07021708548,False,10000,30
rl_sac,price_only_pace_ppo,71486.00809473079,71579.68429785097,31173.3781328305,105772.54906026478,False,10000,30
rl_sac,price_only_ppo,78308.77725487924,78326.46696833333,40247.4823907097,116756.8048101168,False,10000,30
joint_bc_sac_raw,joint_sac_rl_best,61117.58033270668,61241.25643035121,19788.187122914183,100176.2458162588,False,10000,30
joint_bc_sac_raw,joint_ppo_long_007,83496.22874096269,83599.28037221958,16938.44882444504,160875.8674138616,False,10000,30
joint_bc_sac_raw,price_only_pace_ppo,84467.53275552811,84429.63766863247,39690.32371315152,124035.57475294605,False,10000,30
joint_bc_sac_raw,price_only_ppo,91290.30191567657,91176.42033911485,64463.106606175876,118687.69114978221,False,10000,30
joint_sac_rl_best,joint_ppo_long_007,22378.648408256005,22358.023941868378,-52667.8392334514,101589.36806057734,True,10000,30
joint_sac_rl_best,price_only_pace_ppo,23349.95242282143,23188.381238281258,-605.3015749431913,47492.40871645709,True,10000,30
joint_sac_rl_best,price_only_ppo,30172.721582969883,29935.163908763636,-10154.461738162854,79958.73419899549,True,10000,30
joint_ppo_long_007,price_only_pace_ppo,971.3040145654231,830.3572964128801,-72942.22960684173,70687.60310331042,True,10000,30
joint_ppo_long_007,price_only_ppo,7794.073174713878,7577.139966895255,-71898.6306610741,75037.7710377667,True,10000,30
price_only_pace_ppo,price_only_ppo,6822.769160148455,6746.7826704823765,-39232.22235477492,59904.163787985955,True,10000,30
