true_revenue,shaped_return,load_factor,remain_inv,sellout_day,capacity,service_date,month,dow,mean_price,mean_selling_limit,n_steps,base_demand,frac_at_floor,is_soft,is_peak,seed,soft,base50,date,policy,undersell_gt1500,oversell,const_price
1210016.6883307456,74.05993327382203,1.1043149679094502,-1043.149679094502,7.0,10000,2022-12-21,12,2,80.0,15000.0,100,127.57061847614774,1.0,False,True,0,False,127.57061847614774,2022-12-21,always_min_price_80,0.0,1.0,
1229923.41450524,185.52485812649155,0.9760719406520104,239.2805934798962,,10000,2022-12-21,12,2,91.99999988079071,15000.0,100,127.57061847614774,0.0,False,True,0,False,127.57061847614774,2022-12-21,myopic_grid_max_sl,0.0,0.0,
1229533.0865296293,201.08872620358153,0.9974457774666009,25.542225333991155,,10000,2022-12-21,12,2,90.0,15000.0,100,127.57061847614774,0.0,False,True,0,False,127.57061847614774,2022-12-21,best_constant_price,0.0,0.0,90.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-22,6,2,80.0,15000.0,100,89.3393639748758,1.0,True,False,1,True,89.3393639748758,2022-06-22,always_min_price_80,1.0,0.0,
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-22,6,2,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,1,True,89.3393639748758,2022-06-22,myopic_grid_max_sl,1.0,0.0,
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-22,6,2,80.0,15000.0,100,89.3393639748758,1.0,True,False,1,True,89.3393639748758,2022-06-22,best_constant_price,1.0,0.0,80.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-01,6,2,80.0,15000.0,100,89.3393639748758,1.0,True,False,2,True,89.3393639748758,2022-06-01,always_min_price_80,1.0,0.0,
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-01,6,2,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,2,True,89.3393639748758,2022-06-01,myopic_grid_max_sl,1.0,0.0,
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-01,6,2,80.0,15000.0,100,89.3393639748758,1.0,True,False,2,True,89.3393639748758,2022-06-01,best_constant_price,1.0,0.0,80.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-08,6,2,80.0,15000.0,100,89.3393639748758,1.0,True,False,3,True,89.3393639748758,2022-06-08,always_min_price_80,1.0,0.0,
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-08,6,2,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,3,True,89.3393639748758,2022-06-08,myopic_grid_max_sl,1.0,0.0,
