arm,score_aware,paired_vs_unconstrained,ci_low,ci_high,n_decrease_steps,n_episodes_with_decrease,n_clamped_steps,penalty
unconstrained,2033263.9,0.0,0.0,0.0,1672,30,0,
clamp_frozen,2077975.64,44711.73,20944.95,66164.01,0,0,2610,
clamp_retrained,1923105.52,-110158.39,-146417.61,-73686.62,0,0,2315,
penalty,1951555.23,-81708.67,-134173.89,-32539.27,1323,30,0,10
ratchet,1921207.22,-112056.69,-144200.25,-80286.91,0,0,0,
ratchet_pace,1935084.9,-98179.0,-162418.97,-31937.56,0,0,0,
bc_clone,2038966.23,5702.33,-42250.14,51133.31,0,0,1812,
bc_clone_ratchet,2024192.25,-9071.66,-63648.03,38982.17,0,0,0,
bc_clamp,1911248.53,-122015.37,-147486.09,-94953.58,0,0,1851,
bc_ratchet,1935035.66,-98228.25,-230925.03,16570.71,0,0,0,
peak_only,1964901.58,-68362.32,-124005.9,-12669.91,528,13,0,
penalty_hw,2048563.18,15299.27,-39343.68,74833.1,1377,30,0,1
