policy,baseline,point_diff,ci_low,ci_high,covers_zero
clamp_frozen,unconstrained,44711.73421058152,20944.95127632664,66164.01220597335,False
clamp_retrained,unconstrained,-110158.38579131942,-146417.60922164403,-73686.61892921211,False
penalty,unconstrained,-81708.67160034645,-134173.8930659224,-32539.272016546587,False
ratchet,unconstrained,-112056.6871642014,-144200.24660473823,-80286.9066403541,False
ratchet_pace,unconstrained,-98179.00116571295,-162418.9694844187,-31937.562493851336,False
bc_clone,unconstrained,5702.325005041901,-42250.1424283711,51133.30652938489,True
bc_clone_ratchet,unconstrained,-9071.655025389278,-63648.03481753021,38982.17438714729,True
bc_clamp,unconstrained,-122015.37024189415,-147486.0928238471,-94953.57680013387,False
bc_ratchet,unconstrained,-98228.24602062302,-230925.03428566258,16570.70895368087,True
peak_only,unconstrained,-68362.32142964634,-124005.90032277015,-12669.905318401994,False
penalty_hw,unconstrained,15299.27108015772,-39343.682729886794,74833.09604644397,True
