policy,n_episodes,mean_true_revenue,mean_load_factor,mean_remain_inv,oversell_rate,undersell_gt1500_rate,sellout_rate,score
bc_sac_final,30,1114825.17,0.8964,1036.19,0.4,0.4333,0.4,870575.61
price_only_ppo_analytic@200k,30,1087614.96,0.8696,1303.79,0.0,0.4667,0.0,826856.83
rl_best_sac@200k,30,1085378.54,0.8697,1302.7,0.1,0.4333,0.1,823018.55
price_only_sac_optimize1d@150k,30,1071552.63,0.8733,1267.1,0.0,0.4333,0.0,818132.08
myopic_greedy@joint,30,1049488.47,0.8404,1595.92,0.0,0.4333,0.0,730304.77
myopic_greedy@price_only,30,1049488.47,0.8404,1595.92,0.0,0.4333,0.0,730304.77
fixed_price_80@price_only,30,961979.13,0.88,1199.63,0.0,0.4333,0.0,722054.0
fixed_price_100@price_only,30,1079306.79,0.7981,2018.7,0.0,0.4333,0.0,675567.16
fixed_price_80@joint,30,1024314.44,0.9431,568.7,0.5667,0.4333,0.5667,673174.45
heuristic_booking_limit@price_only,30,1101105.58,0.7385,2614.63,0.0,0.7,0.0,578180.5
