policy,score_aware,score_peak,score_soft,soft_mean_price,peak_denied_nights,peak_denied_seats,peak_unsold_seats
DP planner,2219271.73,1348586.17,870685.56,92.0,8,31.8,56.1
DP planner + cap,2216740.58,1346055.02,870685.56,92.0,7,23.8,66.8
myopic,1963709.67,1093024.1,870685.56,92.0,0,0.0,450.2
joint SAC cu200,2086502.73,1223719.99,862782.74,83.22,11,220.3,162.3
joint BC->SAC,2086140.45,1226361.52,859778.93,81.65,11,120.0,173.7
joint BC->SAC + cap,2079571.6,1219792.67,859778.93,81.65,1,3.1,295.5
R1 score SAC,2111488.88,1247063.05,864425.83,87.86,8,143.5,148.8
R1 score SAC + cap,2094687.03,1230261.2,864425.83,87.86,1,3.3,327.8
"R1 score SAC, final",2112692.33,1248204.55,864487.79,87.9,8,143.2,145.9
R2 planner clone,1927144.25,1059053.31,868090.93,96.65,14,707.5,185.8
R2 clone + SAC,2058277.53,1191887.46,866390.07,86.34,14,377.3,117.0
R2 clone + SAC + cap,2134485.28,1268095.2,866390.07,86.34,4,16.1,189.5
"R2 clone + SAC, final",2128208.45,1262924.13,865284.32,89.36,14,245.1,48.4
