policy,timesteps,train_month_reward
R1 score SAC,20000,848735.0
R1 score SAC,40000,675102.0
R1 score SAC,60000,765276.0
R1 score SAC,80000,941948.0
R1 score SAC,100000,912815.0
R1 score SAC,120000,918110.0
R1 score SAC,140000,985713.0
R1 score SAC,160000,972655.0
R1 score SAC,180000,951462.0
R1 score SAC,200000,1021385.0
R2 clone + SAC,20000,873335.0
R2 clone + SAC,40000,654542.0
R2 clone + SAC,60000,839141.0
R2 clone + SAC,80000,1011760.0
R2 clone + SAC,100000,980592.0
R2 clone + SAC,120000,938196.0
R2 clone + SAC,140000,1055604.0
R2 clone + SAC,160000,1010546.0
R2 clone + SAC,180000,985631.0
R2 clone + SAC,200000,1038950.0
