scenario,policy,score_aware,peak_denied_nights,peak_denied_seats,peak_unsold_seats
env count,joint SAC rl_best,2033263.9,3,5.1,415.6
env count,joint SAC cu200,2087750.4,11,221.4,158.1
env count,joint BC->SAC + cap,2081399.96,0,0.0,293.0
env count,myopic,1972305.33,0,0.0,423.0
env count,DP planner,2219271.73,8,31.8,56.1
env count,DP planner + cap,2216740.58,7,23.8,66.8
"operator, true rates",joint SAC rl_best,2033125.8,2,9.0,411.2
"operator, true rates",joint SAC cu200,2086502.73,11,220.3,162.3
"operator, true rates",joint BC->SAC + cap,2079571.6,1,3.1,295.5
"operator, true rates",myopic,1963709.67,0,0.0,450.2
"operator, true rates",DP planner,2219271.73,8,31.8,56.1
"operator, true rates",DP planner + cap,2216740.58,7,23.8,66.8
no-shows 12%,joint SAC rl_best,1980558.5,0,0.0,591.7
no-shows 12%,joint SAC cu200,2088175.0,8,166.1,207.2
no-shows 12%,joint BC->SAC + cap,2028992.48,0,0.0,464.6
no-shows 12%,myopic,1834021.73,0,0.0,864.1
no-shows 12%,DP planner,2127176.71,0,0.0,452.9
no-shows 12%,DP planner + cap,2117485.5,0,0.0,480.7
no-shows 20%,joint SAC rl_best,2057790.33,6,52.5,292.5
no-shows 20%,joint SAC cu200,2078159.96,13,273.3,140.4
no-shows 20%,joint BC->SAC + cap,2104947.39,8,42.5,175.1
no-shows 20%,myopic,2056783.79,3,21.5,132.6
no-shows 20%,DP planner,2090587.22,17,441.6,0.0
no-shows 20%,DP planner + cap,2184047.93,11,67.2,33.6
cancellations higher (rho -0.1),joint SAC rl_best,2074109.16,9,112.2,178.3
cancellations higher (rho -0.1),joint SAC cu200,2065039.2,14,315.3,140.8
cancellations higher (rho -0.1),joint BC->SAC + cap,2025493.56,14,337.0,150.6
cancellations higher (rho -0.1),myopic,2035154.27,8,122.9,109.1
cancellations higher (rho -0.1),DP planner,1958178.07,17,786.1,0.0
cancellations higher (rho -0.1),DP planner + cap,2086142.7,15,326.2,4.1
cancellations lower (rho +0.1),joint SAC rl_best,1968170.07,0,0.0,633.4
cancellations lower (rho +0.1),joint SAC cu200,2093596.31,8,144.4,212.4
cancellations lower (rho +0.1),joint BC->SAC + cap,2013852.92,0,0.0,519.2
cancellations lower (rho +0.1),myopic,1806887.48,0,0.0,950.6
cancellations lower (rho +0.1),DP planner,2107606.19,0,0.0,542.9
cancellations lower (rho +0.1),DP planner + cap,2100036.59,0,0.0,564.5
