policy,n_soft,n_peak,score_aware,score_peak,score_soft,soft_rev,soft_gap_to_oracle,soft_frac_at_floor,soft_oversell,peak_rev,peak_remain,peak_load,peak_oversell,peak_score,overall_rev,overall_score,overall_oversell,undersell_gt1500_diag
pace_s42,13,17,2009913.95,1153145.77,856768.18,856768.18,0.0,1.0,0.0,1237263.27,420.59,0.9579,0.0,1153145.77,1072382.06,831842.17,0.0,0.4333
bc_raw_s42,13,17,2094381.48,1234596.36,859785.12,859785.12,0.0,0.3623,0.0,1309855.88,49.73,0.995,0.7059,1234596.36,1114825.22,870575.76,0.4,0.4333
bc_cap_s42,13,17,2081399.96,1221614.84,859785.12,859785.12,0.0,0.3623,0.0,1280208.74,292.97,0.9707,0.0,1221614.84,1098025.17,863219.56,0.0,0.4333
pace_s43,13,17,1951377.04,1094608.85,856768.18,856768.18,0.0,1.0,0.0,1177367.89,413.8,0.9586,0.0,1094608.85,1038441.35,798671.25,0.0,0.4333
bc_raw_s43,13,17,1986730.55,1128623.86,858106.69,858106.69,0.0,0.8631,0.0,1298230.05,-232.03,1.0232,0.4706,1128623.86,1107509.93,814764.74,0.2667,0.4333
bc_cap_s43,13,17,2058454.4,1200347.71,858106.69,858106.69,0.0,0.8631,0.0,1255445.18,216.35,0.9784,0.2353,1200347.71,1083265.17,855408.25,0.1333,0.4333
pace_s44,13,17,1878514.64,1021746.46,856768.18,856768.18,0.0,1.0,0.0,1102894.68,405.74,0.9594,0.0,1021746.46,996239.87,757382.56,0.0,0.4333
bc_raw_s44,13,17,1999363.21,1141303.46,858059.75,858059.75,0.0,0.8808,0.0,1341086.79,-402.11,1.0402,0.7059,1141303.46,1131775.07,822089.05,0.4,0.4333
bc_cap_s44,13,17,2103280.33,1245220.58,858059.75,858059.75,0.0,0.8808,0.0,1291315.99,91.5,0.9908,0.4706,1245220.58,1103571.62,880975.42,0.2667,0.4333
pace_s46,13,17,1951623.73,1094855.55,856768.18,856768.18,0.0,1.0,0.0,1176241.93,406.93,0.9593,0.0,1094855.55,1037803.31,798811.04,0.0,0.4333
bc_raw_s46,13,17,1971852.93,1112484.19,859368.74,859368.74,0.0,0.5138,0.0,1217969.95,527.43,0.9473,0.0,1112484.19,1062576.09,802377.91,0.0,0.4333
bc_cap_s46,13,17,1959619.87,1100251.13,859368.74,859368.74,0.0,0.5138,0.0,1213989.94,568.69,0.9431,0.0,1100251.13,1060320.76,795445.84,0.0,0.4333
