level_shift,policy,score_aware,peak_nights,peak_mean_price,peak_denied_nights,peak_denied_seats,peak_unsold_seats
0.8,planner,1684377.75,17,97.04,0,0.0,811.1
0.8,planner + pickup,1723236.46,17,95.06,3,11.2,651.1
0.8,R1 (no June or December),1643276.09,17,97.33,0,0.0,1003.7
0.8,all months,1556595.62,17,99.19,0,0.0,1295.4
0.8,drift-trained,1657887.35,17,93.56,1,0.0,821.3
1.0,planner,2219271.73,17,104.02,8,31.8,56.1
1.0,planner + pickup,2220195.32,17,104.04,8,29.6,55.3
1.0,R1 (no June or December),2112692.33,17,100.84,8,143.2,145.9
1.0,all months,2155495.93,17,102.95,5,15.9,222.9
1.0,drift-trained,2141760.74,17,101.18,2,12.8,215.3
1.2,planner,2501118.79,17,110.3,8,29.9,54.8
1.2,planner + pickup,2518226.14,17,111.59,8,28.7,54.4
1.2,R1 (no June or December),2333652.71,17,102.98,9,166.0,144.2
1.2,all months,2429566.29,17,106.96,5,19.0,132.1
1.2,drift-trained,2407057.12,17,107.65,5,34.7,154.4
